Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,10,74,74,74,19910895,25319164,13973106,16481,722,16443
100,0.2,0.2,10,1962,2089,5565,1062388860,305195949,18597954,6247,10756,765
15,0.2,0.2,10,60,60,60,7766890,23258430,7589165,785,808,763
20,0.2,0.2,10,236,297,528,7706585,18924588,7364560,794,813,763
25,0.2,0.2,10,322,322,322,9594970,29390795,7049307,16559,882,763
30,0.2,0.2,10,339,408,504,15040899,30157520,8307740,924,991,768
35,0.2,0.2,10,434,443,636,16309171,40496428,7549632,985,1056,768
40,0.2,0.2,10,433,433,542,10970299,30662876,9542349,918,992,769
45,0.2,0.2,10,653,717,877,13009631,56564942,8648371,840,911,769
5,0.2,0.2,10,44,44,44,7595161,91549859,8480317,767,769,766
50,0.2,0.2,10,599,694,846,38210372,66647483,23221778,1204,1608,769
55,0.2,0.2,10,625,739,1040,30240746,69275362,12641311,1028,1288,770
60,0.2,0.2,10,865,912,1079,51885270,66923711,13795745,2112,2636,770
65,0.2,0.2,10,1068,1238,1424,45377665,66982862,14831547,1963,2663,771
70,0.2,0.2,10,1086,1134,1329,40489481,67155898,8935668,1922,2955,771
75,0.2,0.2,10,1252,1308,2073,10970162,26566069,10898876,971,1177,771
80,0.2,0.2,10,1770,1817,2995,158178168,158719635,6186405,6253,9972,772
85,0.2,0.2,10,1778,1841,3319,114270360,193178617,5966272,4853,9567,772
90,0.2,0.2,10,1951,2068,3178,178740596,254002280,5848840,6439,12642,772
95,0.2,0.2,10,1830,1915,2802,18053615,37693046,6027750,1306,1902,773
10,0.2,0.4,10,216,388,484,5207384,15405394,5062978,781,791,767
100,0.2,0.4,10,16129,17397,36048,6842490560,4798787751,5716335,179604,275043,773
15,0.2,0.4,10,654,820,841,6121869,15814397,12608393,789,806,767
20,0.2,0.4,10,1066,1504,2294,6034006,17505415,5438593,830,864,767
25,0.2,0.4,10,1148,1471,1808,6272160,18718532,5884302,847,901,768
30,0.2,0.4,10,1183,1473,2536,14585609,21387438,5695657,1082,1230,768
35,0.2,0.4,10,2698,2938,4093,9936416,17284458,5304406,1043,1111,768
40,0.2,0.4,10,3475,4137,5818,12339489,36669899,6646941,1369,1675,769
45,0.2,0.4,10,3860,4026,5629,34238565,48494367,7674829,2602,3656,769
5,0.2,0.4,10,198,203,203,5063652,14086742,5513935,768,770,766
50,0.2,0.4,10,4986,5233,7145,30548910,43371819,5566237,2495,3213,769
55,0.2,0.4,10,6295,6874,10467,50753540,59361770,5306237,3418,4515,770
